"body";"corps du message"
"cancel";"annuler"
"Cancel";"Annuler"
"change";"changer"
"Contract is invalid.";"Contrat est invalide"
"delete";"supprimer"
"Delete";"Supprimer"
"edit";"editer"
"Edit";"Editer"
"Email";
"Email doesn't exist.";"L'email n'existe pas"
"Email history doesn't exist.";"L'historique des emails n'existent pas"
"Email models";"Modèles des emails"
"Filter";"Afficher"
"Form has some errors.";"Le formulaire comporte des erreurs."
"form has some errors.";"le formulaire comporte des erreurs."
"Init";"Vider les filtres"
"language";"langue"
"language is not valid.";"La langue est invalide."
"Meeting has been created.";"Le rendez vous a été créé."
"Meeting is invalid.";"Le rendez vous est invalide."
"Model";"Modèle"
"Model already exists";"Le modèle existe déjà,"
"Model has been deleted.";"Le modèle a été supprimé."
"Model is invalid.";"Le modèle est invalide."
"name";"nom"
"new";"nouveau"
"New";"Nouveau"
"new email";"nouvel email"
"New email";"Nouvel email"
"new email model";"nouveau modèle d'email"
"New email model";"Nouveau modèle d'email"
"New model";"nouveau modèle"
"No email";"Aucun email"
"No email model";"Aucun modèle d'email"
"one result";"un résultat"
"order_asc";"tri ascendant"
"order_desc";"tri descendant"
"Resend Email";"Renvoyer l'email"
"results";"résultats"
"save";"enregistrer"
"send by";"envoyer par"
"Sent at";"Envoyé le"
"sent at";"envoyé le"
"subject";"sujet"
"Subject";"Sujet"
"Superadmin";"super administrateur"
"thanks to select a site";"merci de sélectionner un site"
"To";"A"
"Use";"Utiliser"
"value";"valeur"
"View model";"Les modèles"
"Email send to [{customer} - {email}].";"L'Email a été envoyé à [{customer} - {email}]."
"Model [%s] has been created.";"Le modèle [%s] a été créé."
"Model [%s] has been saved.";"Le modèle a été sauvegardé."
"form has some errors.";"Le formulaire comporte des erreurs"
"Dictionary";"Dictionnaire"
"Model ""#0#"" will be deleted. Confirm ?";"Le modèle ""#0#"" va être supprimé. Confirmez vous ?"
